Name,Image URL,Price,Manufacturer,Part #,Series,Microarchitecture,Core Family,Socket,Core Count,Performance Core Clock,Performance Core Boost Clock,Efficiency Core Clock,Efficiency Core Boost Clock,L2 Cache,L3 Cache,TDP,Integrated Graphics,Maximum Supported Memory,ECC Support,Includes Cooler,Packaging,Lithography,Includes CPU Cooler,Simultaneous Multithreading
Intel Pentium G6950,//cdna.pcpartpicker.com/static/forever/images/product/ec3e95c4fd47e7d4b05fc51d59f845c4.256p.jpg,$55.01 ,Intel,BX80616G6950,Intel Pentium,Westmere,Clarkdale,LGA1156,2,2.8 GHz,,,,0.5 MB,3 MB,73 W,Intel HD Graphics,,No,Yes,Boxed,32 nm,Yes,No
Intel Core i5-750,https://images-na.ssl-images-amazon.com/images/I/41NdwnxszBL.jpg,$403.00 ,Intel,BV80605001911AP,Intel Core i5,Nehalem,Lynnfield,LGA1156,4,2.66 GHz,,,,1 MB,8 MB,95 W,None,,No,No,OEM/Tray,45 nm,No,No
Intel Core 2 Extreme QX6700,https://images-na.ssl-images-amazon.com/images/I/41reGWA2VgL.jpg,,Intel,BX80562QX6700,Intel Core 2 Extreme,Core,Kentsfield,LGA775,4,2.66 GHz,,,,8 MB,0 MB,100 W,None,,No,Yes,Boxed,65 nm,Yes,No
AMD Phenom II X4 830,/static/forever/img/no-image.png,$55.05 ,AMD,HDX830WFK4DGM,AMD Phenom II X4,K10,Deneb,AM3,4,2.8 GHz,,,,2 MB,6 MB,95 W,None,,No,No,OEM/Tray,45 nm,No,No
AMD A6-3650,https://images-na.ssl-images-amazon.com/images/I/41zu%2BbWuRML.jpg,,AMD,AD3650WNGXBOX,AMD A6,Lynx,Llano,FM1,4,2.6 GHz,,,,4 MB,0 MB,100 W,Radeon HD 6530D,,No,Yes,Boxed,32 nm,Yes,No
Intel Pentium G840,https://m.media-amazon.com/images/I/41YyKDywz5L.jpg,,Intel,BX80623G840,Intel Pentium,Sandy Bridge,Sandy Bridge,LGA1155,2,2.8 GHz,,,,0.5 MB,3 MB,65 W,Intel HD Graphics,,No,Yes,Boxed,32 nm,Yes,No
Intel Core i3-4330,//cdna.pcpartpicker.com/static/forever/images/product/6f2d6549675bef642a64f73eba890bd4.256p.jpg,,Intel,BX80646I34330,Intel Core i3,Haswell,Haswell,LGA1150,2,3.5 GHz,,,,0.5 MB,4 MB,54 W,Intel HD Graphics 4600,,Yes,Yes,Boxed,22 nm,Yes,Yes: Hyper-Threading
Intel Pentium G3420,https://m.media-amazon.com/images/I/518NGYVpObL.jpg,,Intel,BX80646G3420,Intel Pentium,Haswell,Haswell,LGA1150,2,3.2 GHz,,,,0.5 MB,3 MB,54 W,Intel HD Graphics,,No,Yes,Boxed,22 nm,Yes,No
AMD FX-9590,//cdna.pcpartpicker.com/static/forever/images/product/518a4d4def780ff1ea47f916236ffd4c.med.256p.jpg,,AMD,FD9590FHW8KHK,AMD FX,Piledriver,Vishera,AM3+,8,4.7 GHz,5 GHz,,,8 MB,8 MB,220 W,None,,No,No,OEM/Tray,32 nm,No,No
Intel Core i3-4350,https://m.media-amazon.com/images/I/51ITecLpEfL.jpg,,Intel,BX80646I34350,Intel Core i3,Haswell Refresh,Haswell Refresh,LGA1150,2,3.6 GHz,,,,0.5 MB,4 MB,54 W,Intel HD Graphics 4600,,Yes,Yes,Boxed,22 nm,Yes,Yes: Hyper-Threading
Intel Xeon E3-1276 V3,https://m.media-amazon.com/images/I/51IO3YbkNpL.jpg,,Intel,BX80646E31276V3,Intel Xeon E3,Haswell Refresh,Haswell Refresh,LGA1150,4,3.6 GHz,4 GHz,,,1 MB,8 MB,84 W,Intel HD Graphics P4600,,Yes,Yes,Boxed,22 nm,Yes,Yes: Hyper-Threading
AMD FX-8370E,https://m.media-amazon.com/images/I/51PnhaGBAUL.jpg,,AMD,FD837EWMHKBOX,AMD FX,Piledriver,Vishera,AM3+,8,3.3 GHz,4.3 GHz,,,8 MB,8 MB,95 W,None,,No,Yes,Boxed,32 nm,Yes,No
Intel Xeon E5-1630 V3,/static/forever/img/no-image.png,,Intel,CM8064401614501,Intel Xeon E5,Haswell,Haswell-EP,LGA2011-3,4,3.7 GHz,3.8 GHz,,,1 MB,10 MB,140 W,None,,Yes,No,OEM/Tray,22 nm,No,Yes: Hyper-Threading
Intel Xeon E5-2623 V3,https://m.media-amazon.com/images/I/41gfZhCKO3L.jpg,$229.95 ,Intel,CM8064401832000,Intel Xeon E5,Haswell,Haswell-EP,LGA2011-3,4,3 GHz,3.5 GHz,,,1 MB,10 MB,105 W,None,,Yes,No,OEM/Tray,22 nm,No,Yes: Hyper-Threading
Intel Core i5-6500T,/static/forever/img/no-image.png,,Intel,BXC80662I56500T,Intel Core i5,Skylake,Skylake-S,LGA1151,4,2.5 GHz,3.1 GHz,,,1 MB,6 MB,35 W,Intel HD Graphics 530,64 GB,No,Yes,Boxed,14 nm,Yes,No
Intel Core i7-7800X,//cdna.pcpartpicker.com/static/forever/images/product/10e2d58a6350440879e268a000cf73c2.256p.jpg,,Intel,BXC80673I77800X,Intel Core i7,Skylake,Skylake-X,LGA2066,6,3.5 GHz,4 GHz,,,6 MB,8.25 MB,140 W,None,128 GB,No,No,Boxed,14 nm,No,Yes: Hyper-Threading
Intel Core i3-8300T,//cdna.pcpartpicker.com/static/forever/images/product/67d6c57eae5170d56282ab69bf97d70b.256p.jpg,,Intel,CM8068403377212,Intel Core i3,Coffee Lake,Coffee Lake,LGA1151,4,3.2 GHz,,,,1 MB,8 MB,35 W,Intel UHD Graphics 630,64 GB,Yes,No,OEM/Tray,14 nm,No,No
Intel Core i7-6700,//cdna.pcpartpicker.com/static/forever/images/product/771dc6ddec2978c73f3362ac4a8b540e.256p.jpg,$128.00 ,Intel,BX80662I76700,Intel Core i7,Skylake,Skylake-S,LGA1151,4,3.4 GHz,4 GHz,,,1 MB,8 MB,65 W,Intel HD Graphics 530,64 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
Intel Core i7-10700F,https://m.media-amazon.com/images/I/41P4d+8jqLL.jpg,$218.99 ,Intel,BX8070110700F,Intel Core i7,Comet Lake,Comet Lake,LGA1200,8,2.9 GHz,4.8 GHz,,,2 MB,16 MB,65 W,None,128 GB,No,Yes,Boxed,14 nm,Yes,Yes: Hyper-Threading
Intel Core i7-12700,//cdna.pcpartpicker.com/static/forever/images/product/c8944273cfc755a0b216001a90b9fba2.256p.jpg,$265.49 ,Intel,BX8071512700,Intel Core i7,Alder Lake,Alder Lake,LGA1700,12,2.1 GHz,4.9 GHz,1.6 GHz,3.6 GHz,12 MB,25 MB,65 W,Intel UHD Graphics 770,128 GB,No,Yes,Boxed,10 nm,Yes,Yes: Hyper-Threading
Intel Core i5-4690K,//cdna.pcpartpicker.com/static/forever/images/product/93181dc9a768fc9b512a294c4f33cc91.256p.jpg,$53.00 ,Intel,BX80646I54690K,Intel Core i5,Haswell Refresh,Haswell Refresh,LGA1150,4,3.5 GHz,3.9 GHz,,,1 MB,6 MB,88 W,Intel HD Graphics 4600,,No,Yes,Boxed,22 nm,Yes,No
