Name,Image URL,Price,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Dimensions,Volume
SaharaGaming P35,//cdna.pcpartpicker.com/static/forever/images/product/4582f29989e0068c04e94abf2061e67e.256p.jpg,,SaharaGaming,P35,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","370 mm / 14.567""","2 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,,
Corsair Carbide Series 678C,//cdna.pcpartpicker.com/static/forever/images/product/4993061e1279da56335b52013a5e41f1.256p.jpg,,Corsair,CC-9011167-WW,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","370 mm / 14.567""","1 x External 5.25"", 6 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,"549 mm x 239 mm x 497 mm, 21.614"" x 9.409"" x 19.567""","65.212 L, 2.303 ft³"
Corsair 110Q,//cdna.pcpartpicker.com/static/forever/images/product/583a373ce6fea7d29925d7bb46a5123f.256p.jpg,,Corsair,CC-9011184-WW,ATX Mid Tower,Black,None,None,No,USB 3.2 Gen 1 Type-A,"ATX, Micro ATX, Mini ITX","330 mm / 12.992""","1 x External 5.25"", 2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,,
Raidmax Simplex ATX-618B,https://m.media-amazon.com/images/I/31jBKo6J1uL.jpg,,Raidmax,ATX-618B,MicroATX Mid Tower,Black,None,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 1 x External 3.5"", 5 x Internal 3.5""",7 x Full-Height,"482 mm x 203 mm x 444 mm, 18.976"" x 7.992"" x 17.48""","43.444 L, 1.534 ft³"
Lian Li PC-V650,https://images-na.ssl-images-amazon.com/images/I/51oSW5DRZ4L.jpg,,Lian Li,PC-V650B,ATX Mini Tower,Black,None,None,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","370 mm / 14.567""","1 x External 5.25"", 7 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"250 mm x 359 mm x 426 mm, 9.843"" x 14.134"" x 16.772""","38.233 L, 1.35 ft³"
Deepcool TESSERACT BF,//cdna.pcpartpicker.com/static/forever/images/product/6f37f335455304802689f5b9b60dd4be.256p.jpg,,Deepcool,"TESSERACT BF, DP-CCATX-TSRBFBK",ATX Mid Tower,Black / Blue,None,None,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","310 mm / 12.205""","2 x External 5.25"", 4 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,"430 mm x 194 mm x 436 mm, 16.929"" x 7.638"" x 17.165""","36.371 L, 1.284 ft³"
aigo AZ300,https://m.media-amazon.com/images/I/41OFGG35jYL.jpg,,aigo,AZ300 Black,ATX Mid Tower,Black,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","400 mm / 15.748""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"415 mm x 280 mm x 427 mm, 16.339"" x 11.024"" x 16.811""","49.617 L, 1.752 ft³"
BitFenix Prodigy M 2022,//cdna.pcpartpicker.com/static/forever/images/product/1d1bad2ab41926d635822637c7aca925.256p.jpg,$79.90 ,BitFenix,BFC-PM2-300-KKGSK-RP,MicroATX Mini Tower,Black / White,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","Micro ATX, Mini ITX","339 mm / 13.346"" With Drive Cages, 339 mm / 13.346"" Without Drive Cages","2 x Internal 3.5"", 3 x Internal 2.5""",5 x Full-Height,,
Cougar MX330-F,https://m.media-amazon.com/images/I/41gspy+bdJL.jpg,$74.90 ,Cougar,"385NC10.0014, MX330-F",ATX Mid Tower,Black,None,Acrylic,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","350 mm / 13.78""","1 x External 5.25"", 2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"427 mm x 195 mm x 473 mm, 16.811"" x 7.677"" x 18.622""","39.384 L, 1.391 ft³"
Thermaltake CTE C750 ARGB,//cdna.pcpartpicker.com/static/forever/images/product/33657836b88637ce484b62187d207e3a.256p.jpg,$179.99 ,Thermaltake,CA-1X6-00F6WN-01,ATX Full Tower,White,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","370 mm / 14.567""","7 x Internal 3.5""",7 x Full-Height,"599.2 mm x 327 mm x 565.2 mm, 23.591"" x 12.874"" x 22.252""","110.744 L, 3.911 ft³"
Aerocool Bolt Mini Glass,//cdna.pcpartpicker.com/static/forever/images/product/ff9e8377c156eada98cf2cf3cca070db.256p.jpg,,Aerocool,ACCS-PV20013.11,MicroATX Mini Tower,Black,None,Tempered Glass,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","Micro ATX, Mini ITX","318 mm / 12.52""","2 x Internal 3.5"", 3 x Internal 2.5""",4 x Full-Height,,
Thermaltake The Tower 200,https://m.media-amazon.com/images/I/41nxOdHSiHL.jpg,$134.98 ,Thermaltake,CA-1X9-00SBWN-00,Mini ITX Tower,Turquoise,None,Tempered Glass,No,USB 3.2 Gen 2 Type-C,Mini ITX,"280 mm / 11.024"" With Drive Cages, 380 mm / 14.961"" Without Drive Cages","2 x Internal 3.5"", 2 x Internal 2.5""",3 x Full-Height,"280 mm x 300 mm x 537 mm, 11.024"" x 11.811"" x 21.142""","45.108 L, 1.593 ft³"
Silverstone ML09,https://images-na.ssl-images-amazon.com/images/I/41Qp1ljmdoL.jpg,$97.85 ,Silverstone,"ML09B, SST-ML09B",HTPC,Black,None,None,No,USB 3.2 Gen 1 Type-A,Mini ITX,"175 mm / 6.89""","1 x External 5.25"" Slim, 4 x Internal 2.5""",2 x Half-Height,,
Phanteks ECLIPSE P500A,//cdna.pcpartpicker.com/static/forever/images/product/856b217018f8e162f76b204eabd0bb1c.256p.jpg,,Phanteks,PH-EC500ATG_DMW01,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","435 mm / 17.126""","2 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,,
Phanteks Evolv X,//cdna.pcpartpicker.com/static/forever/images/product/2db8daab07c206a2a93dbfaeca4bc92d.256p.jpg,,Phanteks,"PH-ES518XTG_DAG, PH-ES515XTG_DAG, PH-ES518XTG_DAG01",ATX Mid Tower,Gray,None,Tinted Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","435 mm / 17.126""","4 x Internal 3.5"", 6 x Internal 2.5""",7 x Full-Height,"520 mm x 240 mm x 520 mm, 20.472"" x 9.449"" x 20.472""","64.896 L, 2.292 ft³"
Cooler Master Cosmos S,https://m.media-amazon.com/images/I/41lohuxJO-L.jpg,,Cooler Master,RC-1100-KKN1-GP,ATX Full Tower,Black / Gray,None,None,No,USB 2.0 Type-A,"ATX, EATX, Micro ATX, Mini ITX","352 mm / 13.858""","4 x External 5.25"", 4 x Internal 3.5""",7 x Full-Height,"627 mm x 265 mm x 597 mm, 24.685"" x 10.433"" x 23.504""","99.195 L, 3.503 ft³"
Phanteks Evolv Shift Air,//cdna.pcpartpicker.com/static/forever/images/product/ad60fd95794b18c002f2b19af4ba2323.256p.jpg,,Phanteks,PH-ES217A_BK,Mini ITX Tower,Black,None,Mesh,No,USB 3.2 Gen 1 Type-A,Mini ITX,"350 mm / 13.78""","1 x Internal 3.5"", 2 x Internal 2.5""",2 x Full-Height,"274 mm x 186 mm x 470 mm, 10.787"" x 7.323"" x 18.504""","23.953 L, 0.846 ft³"
SilentiumPC Signum SG1 TG,//cdna.pcpartpicker.com/static/forever/images/product/100fb6bc4fd91d23aec952b1f9dfad90.256p.jpg,,SilentiumPC,SPC230,ATX Mid Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"ATX, Micro ATX, Mini ITX","325 mm / 12.795""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,,
In Win A5,https://m.media-amazon.com/images/I/21U19cSvSrL.jpg,$103.45 ,In Win,"A5 Black, IW-CS-A5BLK-1AM120S",ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","340 mm / 13.386""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"399 mm x 215 mm x 407 mm, 15.709"" x 8.465"" x 16.024""","34.914 L, 1.233 ft³"
Jonsbo BO 100,https://m.media-amazon.com/images/I/31oGBU0QFYL.jpg,$229.99 ,Jonsbo,BO100-GBlack,Mini ITX Desktop,Black,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","Mini ITX, Mini DTX",,"1 x Internal 3.5"", 2 x Internal 2.5""",2 x Full-Height,"233 mm x 239 mm x 282 mm, 9.173"" x 9.409"" x 11.102""","15.704 L, 0.555 ft³"
RAIJINTEK OPHION EVO,//cdna.pcpartpicker.com/static/forever/images/product/a00082ad4531b0d5b9d8ba4585e327c5.256p.jpg,$155.44 ,RAIJINTEK,"0R20B00098, 0R20B00104",Mini ITX Desktop,Black,None,Acrylic,No,USB 3.2 Gen 1 Type-A,Mini ITX,"330 mm / 12.992""","1 x Internal 3.5"", 2 x Internal 2.5""",2 x Full-Height,,
Enermax MarbleShell MS21 RGB,https://m.media-amazon.com/images/I/41FjfJCKEIL.jpg,,Enermax,ECA-MS21-WW-ARGB,MicroATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","Micro ATX, Mini ITX","365 mm / 14.37""","2 x Internal 3.5"", 2 x Internal 2.5""",5 x Full-Height,"370 mm x 210 mm x 435 mm, 14.567"" x 8.268"" x 17.126""","33.8 L, 1.194 ft³"
Thermaltake Core P6,//cdna.pcpartpicker.com/static/forever/images/product/d000d7b9ae7a55e17d3f1fe6b9a9ee19.256p.jpg,$234.98 ,Thermaltake,CA-1V2-00MBWN-00,ATX Mid Tower,Blue / Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX, SSI CEB","458 mm / 18.031""","4 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"530 mm x 255 mm x 565 mm, 20.866"" x 10.039"" x 22.244""","76.36 L, 2.697 ft³"
Inter-Tech IM-2 Expander,//cdna.pcpartpicker.com/static/forever/images/product/fa4f3068a5453df116164d2ad2d2e377.256p.jpg,,Inter-Tech,88881368,MicroATX Mid Tower,Black,None,Mesh,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","Micro ATX, Mini ITX","340 mm / 13.386""","6 x Internal 3.5""",5 x Full-Height,"412 mm x 205 mm x 363 mm, 16.22"" x 8.071"" x 14.291""","30.659 L, 1.083 ft³"
Montech AIR X Black,/static/forever/img/no-image.png,,Montech,AIR X Black,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, EATX, Micro ATX, Mini ITX","340 mm / 13.386""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,,
Zalman Z10 PLUS,https://m.media-amazon.com/images/I/41tVHg3flSL.jpg,,Zalman,Z10 PLUS,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","395 mm / 15.551""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"481 mm x 220 mm x 488 mm, 18.937"" x 8.661"" x 19.213""","51.64 L, 1.824 ft³"
In Win DUBILI,https://m.media-amazon.com/images/I/51iPaYpHkkL.jpg,,In Win,IW-CS-DUBILIASB-GLD,ATX Full Tower,Gold / Black,None,Tempered Glass,No,"USB 3.2 Gen 2x2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","430 mm / 16.929""","4 x Internal 2.5"", 2 x Internal 3.5""",8 x Full-Height,"523 mm x 244 mm x 567 mm, 20.591"" x 9.606"" x 22.323""","72.356 L, 2.555 ft³"
Cooler Master MasterBox K501L,//cdna.pcpartpicker.com/static/forever/images/product/b658ad578e28605048b76d43405b289f.256p.jpg,,Cooler Master,MCB-K501L-KANN-S00,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, EATX, Micro ATX, Mini ITX","410 mm / 16.142""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,,
Thermaltake V100,https://images-fe.ssl-images-amazon.com/images/I/31bdDBx1rWL.jpg,,Thermaltake,CA-3K7-50M1NA-00,ATX Mid Tower,Black,500 W,None,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","400 mm / 15.748""","2 x External 5.25"", 2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"410 mm x 190 mm x 470 mm, 16.142"" x 7.48"" x 18.504""","36.613 L, 1.293 ft³"
NZXT Switch 810,https://m.media-amazon.com/images/I/41xNcSiBASL.jpg,,NZXT,"CA-SW810-W1, SWI 810-001W, 8C-SWNL1-WWW, CSNZSW810W",ATX Full Tower,White / Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, EATX, Micro ATX, Mini ITX, Thin Mini ITX, XL ATX","285 mm / 11.22"" With Drive Cages, 375 mm / 14.764"" Without Drive Cages","4 x External 5.25"", 6 x Internal 3.5""",9 x Full-Height,"234 mm x 595 mm x 584 mm, 9.213"" x 23.425"" x 22.992""","81.31 L, 2.871 ft³"
Zalman Z11 Plus,//cdna.pcpartpicker.com/static/forever/images/product/4c5f871e92f0580eac58cf51279ed124.256p.jpg,,Zalman,Z11 Plus,ATX Mid Tower,Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","290 mm / 11.417""","4 x External 5.25"", 5 x Internal 3.5"", 1 x Internal 2.5""",7 x Full-Height,"525 mm x 260 mm x 498 mm, 20.669"" x 10.236"" x 19.606""","67.977 L, 2.401 ft³"
darkFlash DLX21 Mesh,/static/forever/img/no-image.png,,darkFlash,DLX21 MESH WHITE,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, EATX, Micro ATX, Mini ITX","400 mm / 15.748""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,,
Silverstone Sugo 16,https://m.media-amazon.com/images/I/51BNOa0z6qL.jpg,$87.99 ,Silverstone,"SST-SG16W, SG16W",Mini ITX Tower,White,None,None,No,USB 3.2 Gen 1 Type-A,"Mini ITX, Mini DTX","275 mm / 10.827""","1 x Internal 3.5"", 1 x Internal 2.5""",2 x Full-Height,"280 mm x 200 mm x 232 mm, 11.024"" x 7.874"" x 9.134""","12.992 L, 0.459 ft³"
Fractal Design Meshify 2 Compact TG Light Tint,//cdna.pcpartpicker.com/static/forever/images/product/a2e481d5295ec41a6a6107f7117a27c6.256p.jpg,$159.49 ,Fractal Design,FD-C-MES2C-04,ATX Mid Tower,Gray / Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","341 mm / 13.425"" With Drive Cages, 360 mm / 14.173"" Without Drive Cages","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"424 mm x 210 mm x 475 mm, 16.693"" x 8.268"" x 18.701""","42.294 L, 1.494 ft³"
Antec P7 NEO,//cdna.pcpartpicker.com/static/forever/images/product/8d62e054a507f17e4857af81820a2080.256p.jpg,$66.99 ,Antec,"P7 Neo, 0-761345-80038-9",ATX Mid Tower,Black,None,None,Yes,USB 3.2 Gen 1 Type-A,"ATX, EATX, Micro ATX, Mini ITX","350 mm / 13.78""","1 x External 5.25"", 2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"440 mm x 219 mm x 480 mm, 17.323"" x 8.622"" x 18.898""","46.253 L, 1.633 ft³"
Jonsbo TK-3,//cdna.pcpartpicker.com/static/forever/images/product/a47a34c28199c19cc0d5a3baeb1d8b88.256p.jpg,$132.00 ,Jonsbo,TK-3 Black,ATX Mid Tower,Black,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","420 mm / 16.535""","2 x Internal 3.5""",7 x Full-Height,"438 mm x 288 mm x 415 mm, 17.244"" x 11.339"" x 16.339""","52.35 L, 1.849 ft³"
Thermaltake View 31 TG,https://m.media-amazon.com/images/I/51pPAi-qa+L.jpg,$119.97 ,Thermaltake,CA-1H8-00M1WN-01,ATX Mid Tower,Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","278 mm / 10.945"" With Drive Cages, 420 mm / 16.535"" Without Drive Cages","3 x Internal 3.5""",8 x Full-Height,"511 mm x 250 mm x 497 mm, 20.118"" x 9.843"" x 19.567""","63.492 L, 2.242 ft³"
KOLINK UNITY CODE X,//cdna.pcpartpicker.com/static/forever/images/product/e2ebdeb5f2e3a8ebe65f344119b93c5e.256p.jpg,$246.40 ,KOLINK,UNITY CODE X,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","400 mm / 15.748""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,,
Thermaltake H570 TG ARGB,//cdna.pcpartpicker.com/static/forever/images/product/377b59f257aa810381c4fe447cf95721.256p.jpg,,Thermaltake,"CA-1T9-00M1WN-01, CA-1T9-00M1WN-00",ATX Mid Tower,Black,None,Tempered Glass,No,USB 3.2 Gen 1 Type-A,"ATX, EATX, Micro ATX, Mini ITX","375 mm / 14.764""","2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"487 mm x 216 mm x 463.6 mm, 19.173"" x 8.504"" x 18.252""","48.767 L, 1.722 ft³"
KOLINK Castle,//cdna.pcpartpicker.com/static/forever/images/product/a95fc2fe1eeeaeb584f317adc0ace0bd.256p.jpg,,KOLINK,CASTLE,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","350 mm / 13.78""","2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"435 mm x 201 mm x 405 mm, 17.126"" x 7.913"" x 15.945""","35.411 L, 1.251 ft³"
Thermaltake H570 TG ARGB,//cdna.pcpartpicker.com/static/forever/images/product/2a374aaee116e1d16e8f7fef8e168bf7.256p.jpg,$119.99 ,Thermaltake,"CA-1T9-00M6WN-01, CA-1T9-00M6WN-00",ATX Mid Tower,White,None,Tempered Glass,No,USB 3.2 Gen 1 Type-A,"ATX, EATX, Micro ATX, Mini ITX","375 mm / 14.764""","2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"487 mm x 216 mm x 463.6 mm, 19.173"" x 8.504"" x 18.252""","48.767 L, 1.722 ft³"
SHARKOON PURE STEEL RGB,//cdna.pcpartpicker.com/static/forever/images/product/405ffe7f98a01957d5ebb3acccac68bc.256p.jpg,,SHARKOON,PURE STEEL RGB,ATX Mid Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"ATX, EATX, Micro ATX, Mini ITX, SSI CEB, SSI EEB","300 mm / 11.811"" With Drive Cages, 420 mm / 16.535"" Without Drive Cages","3 x Internal 3.5"", 5 x Internal 2.5""",7 x Full-Height,,
Lian Li PC-O11 Air,//cdna.pcpartpicker.com/static/forever/images/product/34ce33d5968b37f5379d22948f3b2e8e.256p.jpg,,Lian Li,PC-O11AIR,ATX Full Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, EATX, Micro ATX, Mini ITX","420 mm / 16.535""","3 x Internal 3.5"", 6 x Internal 2.5""",8 x Full-Height,"476 mm x 272 mm x 465 mm, 18.74"" x 10.709"" x 18.307""","60.204 L, 2.126 ft³"
Zalman Z10,https://m.media-amazon.com/images/I/41DZhsf5cwL.jpg,,Zalman,Z10,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","395 mm / 15.551""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"481 mm x 220 mm x 488 mm, 18.937"" x 8.661"" x 19.213""","51.64 L, 1.824 ft³"
NOX Hummer ASTRA,//cdna.pcpartpicker.com/static/forever/images/product/542d69eb3358ab095778af4a8618d0a6.256p.jpg,,NOX,NXHUMMERASTRAWH,ATX Mid Tower,White,None,Tempered Glass,No,"USB 3.2 Gen 1 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","420 mm / 16.535""","2 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,"446 mm x 285 mm x 430 mm, 17.559"" x 11.22"" x 16.929""","54.657 L, 1.93 ft³"
Rosewill CHALLENGER,https://m.media-amazon.com/images/I/51i95qmnfpL.jpg,,Rosewill,CHALLENGER,ATX Mid Tower,Black,None,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"3 x External 5.25"", 2 x External 3.5"", 5 x Internal 3.5""",7 x Full-Height,"469 mm x 189 mm x 433 mm, 18.465"" x 7.441"" x 17.047""","38.382 L, 1.355 ft³"
Cooler Master MasterBox Q300L TUF Gaming Edition,//cdna.pcpartpicker.com/static/forever/images/product/904024e2b0f583bc5fdb74523f370468.256p.jpg,,Cooler Master,MCB-Q300L-KANN-TUF,MicroATX Mini Tower,Black / Gold,None,Acrylic,No,USB 3.2 Gen 1 Type-A,"Micro ATX, Mini ITX","360 mm / 14.173""","1 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,"387 mm x 230 mm x 378 mm, 15.236"" x 9.055"" x 14.882""","33.646 L, 1.188 ft³"
SilentiumPC Armis AR6Q EVO ARGB,//cdna.pcpartpicker.com/static/forever/images/product/a87ba9038018cbfdfa1e991385fdeda7.256p.jpg,,SilentiumPC,SPC256,ATX Mid Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"ATX, EATX, Micro ATX","360 mm / 14.173""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"443 mm x 221 mm x 470 mm, 17.441"" x 8.701"" x 18.504""","46.014 L, 1.625 ft³"
SilentiumPC Armis AR7X EVO ARGB,//cdna.pcpartpicker.com/static/forever/images/product/453691cb612771e994b4b84d55fe3cff.256p.jpg,,SilentiumPC,SPC251,ATX Mid Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"ATX, Micro ATX, Mini ITX","420 mm / 16.535""","3 x Internal 3.5"", 6 x Internal 2.5""",8 x Full-Height,"508 mm x 243 mm x 518 mm, 20"" x 9.567"" x 20.394""","63.944 L, 2.258 ft³"
Montech X2 Mesh,/static/forever/img/no-image.png,,Montech,X2 MESH White,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","305 mm / 12.008""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"380 mm x 190 mm x 447 mm, 14.961"" x 7.48"" x 17.598""","32.273 L, 1.14 ft³"
Tempest Aura ARGB,//cdna.pcpartpicker.com/static/forever/images/product/8222fd0180d151e19405c42ab8a5b7cb.256p.jpg,,Tempest,TP-ATX-CS-AUW,ATX Mid Tower,White / Black,None,Acrylic,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","370 mm / 14.567""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,,
DIYPC Rainbow-Flash-F4,//cdna.pcpartpicker.com/static/forever/images/product/892139ed81b7977687b8efabd5308d37.256p.jpg,,DIYPC,Rainbow-Flash-F4-W,ATX Mid Tower,White,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","305 mm / 12.008""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,"365.76 mm x 203.2 mm x 447.04 mm, 14.4"" x 8"" x 17.6""","33.225 L, 1.173 ft³"
GAMDIAS ARGUS E5,//cdna.pcpartpicker.com/static/forever/images/product/30b274773e22dd08750507e9a7a4655d.256p.jpg,,GAMDIAS,ARGUS E5,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","260 mm / 10.236""","2 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,,
GAMDIAS TALOS P1A,https://m.media-amazon.com/images/I/41cP+WTZzZL.jpg,,GAMDIAS,TALOS P1A,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, EATX, Micro ATX, Mini ITX","380 mm / 14.961""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,,
SilentiumPC Ventum VT4V TG,https://m.media-amazon.com/images/I/318-iX89ryL.jpg,,SilentiumPC,SPC294,ATX Mid Tower,Black,None,Tempered Glass,Yes,USB 3.2 Gen 1 Type-A,"ATX, Micro ATX, Mini ITX","345 mm / 13.583""","2 x Internal 3.5"", 3 x Internal 2.5""",7 x Full-Height,,
Raidmax P805,//cdna.pcpartpicker.com/static/forever/images/product/ccebf647c7344b73adf9203ade15c710.256p.jpg,,Raidmax,P805,ATX Mid Tower,Black,None,Tempered Glass,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","310 mm / 12.205""","2 x Internal 3.5"", 2 x Internal 2.5""",7 x Full-Height,,
Geometric Future Model 8,https://m.media-amazon.com/images/I/41VX3b+0beL.jpg,,Geometric Future,GEO-M8-COW,ATX Mid Tower,Black / Orange,None,Tinted Tempered Glass,Yes,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, EATX, Micro ATX, Mini ITX","400 mm / 15.748""","6 x Internal 3.5""",7 x Full-Height,"500 mm x 230 mm x 500 mm, 19.685"" x 9.055"" x 19.685""","57.5 L, 2.031 ft³"
Cougar MG140 RGB,/static/forever/img/no-image.png,,Cougar,CGR-5JM8B-RGB,MicroATX Mini Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","Micro ATX, Mini ITX","350 mm / 13.78""","2 x Internal 3.5"", 2 x Internal 2.5""",4 x Full-Height,"420 mm x 205 mm x 410 mm, 16.535"" x 8.071"" x 16.142""","35.301 L, 1.247 ft³"
