Name,Image URL,Price,Manufacturer,Part #,Type,Color,Power Supply,Side Panel,Power Supply Shroud,Front Panel USB,Motherboard Form Factor,Maximum Video Card Length,Drive Bays,Expansion Slots,Dimensions,Volume
KOLINK INSPIRE K3 ARGB,https://m.media-amazon.com/images/I/41vSWRGsXjL.jpg,,KOLINK,INSPIRE K3 ARGB,MicroATX Mini Tower,Black,None,Tempered Glass,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","Micro ATX, Mini ITX","320 mm / 12.598""","2 x Internal 3.5"", 1 x Internal 2.5""",4 x Full-Height,"393 mm x 188 mm x 382 mm, 15.472"" x 7.402"" x 15.039""","28.224 L, 0.997 ft³"
CiT S012B,https://m.media-amazon.com/images/I/41JVTgIkc6L.jpg,,CiT,S012B,MicroATX Desktop,Black,300 W,None,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","Micro ATX, Mini ITX","225 mm / 8.858""","1 x External 5.25"", 2 x Internal 3.5"", 1 x Internal 2.5""",4 x Half-Height,"399 mm x 100 mm x 306 mm, 15.709"" x 3.937"" x 12.047""","12.209 L, 0.431 ft³"
GameMax Vega,//cdna.pcpartpicker.com/static/forever/images/product/3403f5dda45dac6d8171072c00bcb215.256p.jpg,$89.98 ,GameMax,Vega Pro Grey,ATX Mid Tower,Gray / Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","455 mm / 17.913""","3 x Internal 3.5"", 6 x Internal 2.5""",7 x Full-Height,"491 mm x 210 mm x 516 mm, 19.331"" x 8.268"" x 20.315""","53.205 L, 1.879 ft³"
Azza Mesa,//cdna.pcpartpicker.com/static/forever/images/product/0900a50c8571304c9ed7ef5efde407ff.256p.jpg,,Azza,CSAZ-811,ATX Desktop,Silver / Black,None,Tempered Glass,No,"USB 3.2 Gen 2 Type-C, USB 3.2 Gen 1 Type-A","ATX, Micro ATX, Mini ITX","380 mm / 14.961""","2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,"539 mm x 489 mm x 494 mm, 21.22"" x 19.252"" x 19.449""","130.204 L, 4.598 ft³"
Thermaltake Versa J22,//cdna.pcpartpicker.com/static/forever/images/product/7ccdacabebf06d80acdcf1323e4110e8.256p.jpg,,Thermaltake,CA-1L5-00M1WN-00,ATX Mid Tower,Black,None,Tempered Glass,Yes,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX","310 mm / 12.205""","1 x External 5.25"", 2 x Internal 3.5"", 4 x Internal 2.5""",7 x Full-Height,,
HEC 63R3BB,https://images-na.ssl-images-amazon.com/images/I/21xWCntCEAL.jpg,,HEC,63R3BB,ATX Mid Tower,Black,None,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"3 x External 5.25"", 2 x External 3.5"", 4 x Internal 3.5""",7 x Full-Height,"456 mm x 189 mm x 409 mm, 17.953"" x 7.441"" x 16.102""","35.249 L, 1.245 ft³"
In Win BUC,https://m.media-amazon.com/images/I/41h3hTKi52L.jpg,,In Win,BUC,ATX Mid Tower,Black,None,None,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX",,"3 x External 5.25"", 1 x External 3.5"", 5 x Internal 3.5""",7 x Full-Height,"505 mm x 210 mm x 485 mm, 19.882"" x 8.268"" x 19.094""","51.434 L, 1.816 ft³"
In Win C583T.D400TBL,/static/forever/img/no-image.png,,In Win,C583T.D400TBL,ATX Mid Tower,Black / Silver,400 W,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"3 x External 5.25"", 2 x External 3.5"", 3 x Internal 3.5""",7 x Full-Height,"434 mm x 190 mm x 424 mm, 17.087"" x 7.48"" x 16.693""","34.963 L, 1.235 ft³"
In Win EA035.CQ350SL,/static/forever/img/no-image.png,,In Win,EA035.CQ350SL,ATX Mid Tower,Black / Silver,350 W,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"3 x External 5.25"", 2 x External 3.5"", 2 x Internal 3.5""",7 x Full-Height,"414 mm x 190 mm x 444 mm, 16.299"" x 7.48"" x 17.48""","34.925 L, 1.233 ft³"
In Win IW-Z589T.D400TBL,/static/forever/img/no-image.png,,In Win,IW-Z589T.D400TBL,MicroATX Mini Tower,Black,400 W,None,No,USB 2.0 Type-A,"Micro ATX, Mini ITX",,"2 x External 5.25"", 2 x External 3.5"", 1 x Internal 3.5""",4 x Full-Height,,
In Win Z583T.D400TBL,/static/forever/img/no-image.png,,In Win,Z583T.D400TBL,MicroATX Mini Tower,Black / Silver,400 W,None,No,USB 2.0 Type-A,"Micro ATX, Mini ITX",,"2 x External 5.25"", 2 x External 3.5"", 1 x Internal 3.5""",4 x Full-Height,"370 mm x 180 mm x 363 mm, 14.567"" x 7.087"" x 14.291""","24.176 L, 0.854 ft³"
Lian Li PC-K57W,/static/forever/img/no-image.png,,Lian Li,PC-K57W,ATX Mid Tower,Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX, Thin Mini ITX","415 mm / 16.339""","3 x External 5.25"", 3 x Internal 3.5"", 2 x Internal 2.5""",8 x Full-Height,"504 mm x 210 mm x 471 mm, 19.843"" x 8.268"" x 18.543""","49.851 L, 1.76 ft³"
Raidmax Atlas,https://images-na.ssl-images-amazon.com/images/I/41ca6DwHvxL.jpg,,Raidmax,ATX-295WW,ATX Mid Tower,White / Black,None,Acrylic,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 1 x External 3.5"", 4 x Internal 3.5""",7 x Full-Height,"469 mm x 203 mm x 469 mm, 18.465"" x 7.992"" x 18.465""","44.652 L, 1.577 ft³"
Raidmax ATX-298WBP,https://m.media-amazon.com/images/I/41seJbvf-8L.jpg,,Raidmax,ATX-298WU,ATX Mid Tower,Black / Blue,None,None,No,"USB 3.2 Gen 1 Type-A, USB 2.0 Type-A","ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 1 x External 3.5"", 4 x Internal 3.5""",7 x Full-Height,"508 mm x 190 mm x 444 mm, 20"" x 7.48"" x 17.48""","42.855 L, 1.513 ft³"
Raidmax Reiter,https://m.media-amazon.com/images/I/11scf6La5aL.jpg,,Raidmax,ATX-305WB,ATX Mid Tower,Black,None,None,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"3 x External 5.25"", 4 x Internal 3.5""",7 x Full-Height,"469 mm x 241 mm x 438 mm, 18.465"" x 9.488"" x 17.244""","49.507 L, 1.748 ft³"
Raidmax Typhoon,/static/forever/img/no-image.png,,Raidmax,ATX-312WSP,ATX Mid Tower,Black,450 W,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 1 x External 3.5"", 5 x Internal 3.5""",7 x Full-Height,"463 mm x 184 mm x 425 mm, 18.228"" x 7.244"" x 16.732""","36.207 L, 1.279 ft³"
Raidmax Aztec,/static/forever/img/no-image.png,,Raidmax,ATX-619WO,ATX Mid Tower,Black / Orange,None,Acrylic,No,USB 2.0 Type-A,"ATX, Micro ATX, Mini ITX",,"4 x External 5.25"", 2 x External 3.5"", 4 x Internal 3.5""",7 x Full-Height,"520 mm x 203 mm x 450 mm, 20.472"" x 7.992"" x 17.717""","47.502 L, 1.678 ft³"
