Name,Image URL,Price,Manufacturer,Part #,Chipset,Memory,Memory Type,Core Clock,Boost Clock,Effective Memory Clock,Interface,Color,Frame Sync,Length,TDP,Case Expansion Slot Width,Total Slot Width,Cooling,External Power,HDMI Outputs,DisplayPort Outputs,DVI-D Dual Link Outputs,HDMI 2.1a Outputs,DisplayPort 1.4 Outputs,DisplayPort 1.4a Outputs,DisplayPort 2.1 Outputs,SLI/CrossFire
Gigabyte GV-N960WF2OC-2GD,//cdna.pcpartpicker.com/static/forever/images/product/d80c2422c7e954ce031406f75d3f725a.256p.jpg,,Gigabyte,GV-N960WF2OC-2GD,GeForce GTX 960,2 GB,GDDR5,1216 MHz,1279 MHz,7010 MHz,PCIe x16,Black,G-Sync,257 mm,120 W,2,2,2 Fans,2 PCIe 6-pin,1,3,N/A,N/A,N/A,N/A,N/A,2-way SLI Capable
EVGA Superclocked,//cdna.pcpartpicker.com/static/forever/images/product/56ea67f1866031b9e81c1d53e90bef46.256p.jpg,,EVGA,04G-P4-1962-KR,GeForce GTX 960,4 GB,GDDR5,1216 MHz,1279 MHz,7010 MHz,PCIe x16,Black / Silver,G-Sync,173 mm,120 W,2,2,1 Fan,1 PCIe 6-pin,1,1,1,N/A,N/A,N/A,N/A,2-way SLI Capable
EVGA FTW DT GAMING ACX 3.0,//cdna.pcpartpicker.com/static/forever/images/product/723772f8d06d4218da4268ec9f2f847e.256p.jpg,,EVGA,08G-P4-6274-KR,GeForce GTX 1070,8 GB,GDDR5,1506 MHz,1683 MHz,8008 MHz,PCIe x16,Black / Silver,G-Sync,267 mm,215 W,2,2,2 Fans,2 PCIe 8-pin,1,3,1,N/A,N/A,N/A,N/A,2-way SLI Capable
Gigabyte MINI ITX OC,//cdna.pcpartpicker.com/static/forever/images/product/63a738dbe76202077c535a87ac6bdb4b.256p.jpg,,Gigabyte,GV-N1060IXOC-6GD,GeForce GTX 1060 6GB,6 GB,GDDR5,1531 MHz,1771 MHz,8008 MHz,PCIe x16,Black / Orange,G-Sync,169 mm,120 W,2,2,1 Fan,1 PCIe 6-pin,1,1,2,N/A,N/A,N/A,N/A,N/A
XFX RS,//cdna.pcpartpicker.com/static/forever/images/product/7a205a0e1ac0139caa220abebdd31603.256p.jpg,,XFX,RX-480P8LFB6,Radeon RX 480,8 GB,GDDR5,1120 MHz,1288 MHz,8000 MHz,PCIe x16,Black,FreeSync,240 mm,150 W,2,2,2 Fans,1 PCIe 8-pin,1,3,1,N/A,N/A,N/A,N/A,"4-way CrossFire Capable, 3-way CrossFire Capable, 2-way CrossFire Capable"
PNY XLR8 Gaming Overclocked Edition,https://m.media-amazon.com/images/I/51vW5Ty6bXL.jpg,,PNY,VCGGTX10606XGPB-OC,GeForce GTX 1060 6GB,6 GB,GDDR5,1582 MHz,1797 MHz,8000 MHz,PCIe x16,Black / Red,G-Sync,173 mm,120 W,2,2,2 Fans,1 PCIe 8-pin,1,3,1,N/A,N/A,N/A,N/A,N/A
MSI ARMOR OC,//cdna.pcpartpicker.com/static/forever/images/product/27b5bd701a0d3c6f6437a7efb55efcfe.256p.jpg,,MSI,RX 480 ARMOR 4G OC,Radeon RX 480,4 GB,GDDR5,1120 MHz,1291 MHz,7000 MHz,PCIe x16,Black / White,FreeSync,269 mm,150 W,2,2,2 Fans,1 PCIe 8-pin,2,2,1,N/A,N/A,N/A,N/A,"4-way CrossFire Capable, 3-way CrossFire Capable, 2-way CrossFire Capable"
Gigabyte GAMING,//cdna.pcpartpicker.com/static/forever/images/product/794f57ed98931b01ab9c8fc42c3697f9.256p.jpg,,Gigabyte,GV-RX580GAMING-4GD,Radeon RX 580,4 GB,GDDR5,1257 MHz,1355 MHz,7000 MHz,PCIe x16,Black / Orange,FreeSync,232 mm,185 W,2,2,2 Fans,1 PCIe 8-pin,1,3,1,N/A,N/A,N/A,N/A,"4-way CrossFire Capable, 3-way CrossFire Capable, 2-way CrossFire Capable"
MSI GAMING X+,//cdna.pcpartpicker.com/static/forever/images/product/77a46543c595a65d07adc7d0681abc3b.256p.jpg,,MSI,GTX 1060 GAMING X+ 6G,GeForce GTX 1060 6GB,6 GB,GDDR5,1594 MHz,1809 MHz,9126 MHz,PCIe x16,Black / Red,G-Sync,277 mm,120 W,2,2,2 Fans,1 PCIe 8-pin,1,3,1,N/A,N/A,N/A,N/A,N/A
Zotac AMP Extreme Core,https://m.media-amazon.com/images/I/41MRKFQxI+L.jpg,,Zotac,ZT-P10810F-10P,GeForce GTX 1080 Ti,11 GB,GDDR5X,1607 MHz,1721 MHz,11200 MHz,PCIe x16,Black / Silver,G-Sync,325 mm,320 W,2,3,3 Fans,2 PCIe 8-pin,1,3,1,N/A,N/A,N/A,N/A,2-way SLI Capable
