Name,Image URL,Price,Manufacturer,Part #,Speed,Form Factor,Modules,Price / GB,Color,First Word Latency,CAS Latency,Voltage,Timing,ECC / Registered,Heat Spreader,Specs Number
ADATA XPG LANCER RGB 64 GB,https://m.media-amazon.com/images/I/41n7ZsIAlZL.jpg,$252.99 ,"
ADATA
",AX5U6400C3232G-DCLARBK,"
DDR5-6400
","
288-pin DIMM (DDR5)
","
2 x 32GB
","
$3.953
","
Black
","
10 ns
","
32
","
1.35 V
",N/A,"
Non-ECC / Unbuffered
","
Yes
",12
G.Skill Trident Z5 RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/e6717dfaafe7afbc7efd67683177fb04.256p.jpg,$164.99 ,"
G.Skill
",F5-7600J3646G16GX2-TZ5RS,"
DDR5-7600
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$5.156
","
Silver / Black
","
9.474 ns
","
36
","
1.4 V
","
36-46-46-121
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Dominator Platinum RGB 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/d5b3b598c0807f7abf224893c6cbeec5.256p.jpg,$254.99 ,"
Corsair
",CMT64GX4M4K3600C18W,"
DDR4-3600
","
288-pin DIMM (DDR4)
","
4 x 16GB
","
$3.984
","
White
","
10 ns
","
18
","
1.35 V
","
18-19-19-39
","
Non-ECC / Unbuffered
","
Yes
",13
Kingston FURY Beast 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/ef3a93b69705225da76f104ce2ca6fe4.256p.jpg,$52.10 ,"
Kingston
",KF426C16BBK2/16,"
DDR4-2666
","
288-pin DIMM (DDR4)
","
2 x 8GB
","
$3.256
","
Black
","
12.003 ns
","
16
","
1.2 V
",N/A,"
Non-ECC / Unbuffered
","
Yes
",12
G.Skill Trident Z5 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/49a63258a951b69681c19882cd051718.256p.jpg,$240.90 ,"
G.Skill
",F5-6000J3040G32GX2-TZ5K,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 32GB
","
$3.764
","
Black
","
10 ns
","
30
","
1.4 V
","
30-40-40-96
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/3aacbcdb791f9f0b813143d0ea8e4cf4.256p.jpg,$104.99 ,"
Corsair
",CMK32GX5M1B5600C40,"
DDR5-5600
","
288-pin DIMM (DDR5)
","
1 x 32GB
","
$3.281
","
Black / Gray
","
14.286 ns
","
40
","
1.25 V
","
40-40-40-78
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance LPX 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/7c04b120a9d93500b574655bd99b93aa.256p.jpg,$74.98 ,"
Corsair
",CMK32GX4M1D3000C16,"
DDR4-3000
","
288-pin DIMM (DDR4)
","
1 x 32GB
","
$2.343
","
Black / Yellow
","
10.667 ns
","
16
","
1.35 V
","
16-20-20-38
","
Non-ECC / Unbuffered
","
Yes
",13
TEAMGROUP Elite 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/09f85ab492f6713cac187f2455931340.256p.jpg,$55.99 ,"
TEAMGROUP
",TED432G3200C2201,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
1 x 32GB
","
$1.750
","
Black
","
13.75 ns
","
22
","
1.2 V
","
22-22-22-52
","
Non-ECC / Unbuffered
","
No
",13
G.Skill Trident Z RGB 16 GB,https://m.media-amazon.com/images/I/51jzjtWdUcL.jpg,$55.99 ,"
G.Skill
",F4-3000C16D-16GTZR,"
DDR4-3000
","
288-pin DIMM (DDR4)
","
2 x 8GB
","
$3.499
","
Black
","
10.667 ns
","
16
","
1.35 V
","
16-18-18-38
","
Non-ECC / Unbuffered
","
Yes
",13
ADATA XPG GAMMIX D10 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/13d7d8c2a09bc0bba734692a8ca6463f.256p.jpg,,"
ADATA
",AX4U300038G16-DBG,"
DDR4-3000
","
288-pin DIMM (DDR4)
","
2 x 8GB
",N/A,"
Black / White
","
10.667 ns
","
16
","
1.35 V
",N/A,"
Non-ECC / Unbuffered
","
Yes
",11
