Name,Image URL,Price,Manufacturer,Part #,Speed,Form Factor,Modules,Price / GB,Color,First Word Latency,CAS Latency,Voltage,Timing,ECC / Registered,Heat Spreader,Specs Number
Corsair Vengeance LPX 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/835ab3efad1be13bbe53beef3e3c6f96.256p.jpg,$44.99 ,"
Corsair
",CMK16GX4M2B3200C16,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
2 x 8GB
","
$2.812
","
Black / Yellow
","
10 ns
","
16
","
1.35 V
","
16-18-18-36
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance 32 GB,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,$113.99 ,"
Corsair
",CMK32GX5M2B5600C36,"
DDR5-5600
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.562
","
Black
","
12.857 ns
","
36
","
1.25 V
","
36-36-36-76
","
Non-ECC / Unbuffered
","
Yes
",13
G.Skill Trident Z5 RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/e8d573bd2eac864d427645f0d2f7cad8.256p.jpg,$117.99 ,"
G.Skill
",F5-6000J3636F16GX2-TZ5RK,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.687
","
Black
","
12 ns
","
36
","
1.35 V
","
36-36-36-96
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/fe414d3559a9bbb2e092ba5374f6e1ed.256p.jpg,$114.99 ,"
Corsair
",CMK32GX5M2B6000C30,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.593
","
Black / Gray
","
10 ns
","
30
","
1.4 V
","
30-36-36-76
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance RGB Pro 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/5f09867b54e9ad932b4dd1bc767f6238.256p.jpg,$94.99 ,"
Corsair
",CMW32GX4M2Z3600C18,"
DDR4-3600
","
288-pin DIMM (DDR4)
","
2 x 16GB
","
$2.968
","
Black
","
10 ns
","
18
","
1.35 V
","
18-22-22-42
","
Non-ECC / Unbuffered
","
Yes
",13
G.Skill Trident Z5 RGB 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/e5d0d71b07fa16cc1ac7eb3c676a7831.256p.jpg,$217.99 ,"
G.Skill
",F5-6400J3239G32GX2-TZ5RK,"
DDR5-6400
","
288-pin DIMM (DDR5)
","
2 x 32GB
","
$3.406
","
Black / Silver
","
10 ns
","
32
","
1.4 V
","
32-39-39-102
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance LPX 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/11742fd6eec55fde4e3ee3a79529a111.256p.jpg,$81.99 ,"
Corsair
",CMK32GX4M2D3600C18,"
DDR4-3600
","
288-pin DIMM (DDR4)
","
2 x 16GB
","
$2.562
","
Black / Yellow
","
10 ns
","
18
","
1.35 V
","
18-22-22-42
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/ebca1cc55cb7829ce3ed0b8a13efce7e.256p.jpg,$127.99 ,"
Corsair
",CMH32GX5M2D6000C36W,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$4.000
","
White
","
12 ns
","
36
","
1.35 V
","
36-36-36-76
","
Non-ECC / Unbuffered
","
Yes
",13
TEAMGROUP T-Force Delta RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/09e373465295e5629efd7959a7147a3b.256p.jpg,$106.99 ,"
TEAMGROUP
",FF4D532G6000HC30DC01,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.343
","
White
","
10 ns
","
30
","
1.35 V
","
30-36-36-76
","
Non-ECC / Unbuffered
","
Yes
",13
TEAMGROUP T-Force Delta RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/d2e3f9b94f541ad51a19011026245df2.256p.jpg,$104.21 ,"
TEAMGROUP
",FF3D532G6000HC30DC01,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.257
","
Black
","
10 ns
","
30
","
1.35 V
","
30-36-36-76
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance RGB Pro 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/87cd8e9d02ffb0997769f4a4d5969669.256p.jpg,$54.99 ,"
Corsair
",CMW16GX4M2C3200C16,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
2 x 8GB
","
$3.437
","
Black
","
10 ns
","
16
","
1.35 V
","
16-18-18-36
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/c61cf578206c7afb06eb1af27edb1f7b.256p.jpg,$74.98 ,"
Corsair
",CMK16GX5M2B5200C40,"
DDR5-5200
","
288-pin DIMM (DDR5)
","
2 x 8GB
","
$4.686
","
Black
","
15.385 ns
","
40
","
1.25 V
","
40-40-40-77
","
Non-ECC / Unbuffered
","
Yes
",13
G.Skill Flare X5 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/5bfb04d855b1e501d71ef7516d5c39f7.256p.jpg,$102.99 ,"
G.Skill
",F5-6000J3636F16GX2-FX5,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.218
","
Black
","
12 ns
","
36
","
1.35 V
","
36-36-36-96
","
Non-ECC / Unbuffered
","
No
",13
G.Skill Trident Z5 Neo RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/a4cecff25f58230f3fbae1903d711e49.256p.jpg,$112.99 ,"
G.Skill
",F5-6000J3038F16GX2-TZ5NR,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.531
","
Black
","
10 ns
","
30
","
1.35 V
","
30-38-38-96
","
Non-ECC / Unbuffered
","
No
",13
Silicon Power GAMING 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/62a4ba196f5f165e68619a63ef5d0b70.256p.jpg,$30.99 ,"
Silicon Power
",SP016GXLZU320BDAJ5,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
2 x 8GB
","
$1.937
","
Black / Gray
","
10 ns
","
16
","
1.35 V
",N/A,"
Non-ECC / Unbuffered
","
Yes
",12
G.Skill Ripjaws V 16 GB,https://m.media-amazon.com/images/I/31yJ+tDh0lL.jpg,"$3,914.75 ","
G.Skill
",F4-4800C17D-16GVK,"
DDR4-4800
","
288-pin DIMM (DDR4)
","
2 x 8GB
","
$244.672
","
Black
","
7.083 ns
","
17
","
1.6 V
","
17-19-19-39
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/44511eed6b609f1979ca94fe5ed2e2ad.256p.jpg,$154.99 ,"
Corsair
",CMK64GX5M2B5200C40,"
DDR5-5200
","
288-pin DIMM (DDR5)
","
2 x 32GB
","
$2.422
","
Black
","
15.385 ns
","
40
","
1.25 V
","
40-40-40-77
","
Non-ECC / Unbuffered
","
Yes
",13
G.Skill Flare X5 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/2a5856ab677607ec6f3b1c25bed693ab.256p.jpg,$104.99 ,"
G.Skill
",F5-6000J3038F16GX2-FX5,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.281
","
Black
","
10 ns
","
30
","
1.35 V
","
30-38-38-96
","
Non-ECC / Unbuffered
","
Yes
",13
TEAMGROUP T-Force Vulcan Z 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/96753a64597c28e46bf80ef7064b214b.256p.jpg,$34.99 ,"
TEAMGROUP
",TLZGD416G3200HC16CDC01,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
2 x 8GB
","
$2.187
","
Black
","
10 ns
","
16
","
1.35 V
","
16-18-18-38
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/b2d107d629e656f9f435ce9bd604f7e0.256p.jpg,$134.99 ,"
Corsair
",CMH32GX5M2B6000C40,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$4.218
","
Black
","
13.333 ns
","
40
","
1.35 V
","
40-40-40-77
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance LPX 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/a462328473351f9140c87f8c1d115ffe.256p.jpg,$40.99 ,"
Corsair
",CMK16GX4M2D3600C18,"
DDR4-3600
","
288-pin DIMM (DDR4)
","
2 x 8GB
","
$2.562
","
Black
","
10 ns
","
18
","
1.35 V
","
18-22-22-42
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/894ce2f4aaaf96e8a0cc61288f9ff27d.256p.jpg,$112.99 ,"
Corsair
",CMH32GX5M2E6000C36,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.531
","
Black
","
12 ns
","
36
","
1.4 V
","
36-44-44-96
","
Non-ECC / Unbuffered
","
Yes
",13
G.Skill Ripjaws V 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/f97fce0b44ff2447a790b0bffc74f9f3.256p.jpg,$67.98 ,"
G.Skill
",F4-3200C16D-32GVK,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
2 x 16GB
","
$2.124
","
Black
","
10 ns
","
16
","
1.35 V
","
16-18-18-38
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Dominator Titanium 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/fdf09b4bc9f4b16d37c0920c50cc20d6.256p.jpg,$309.99 ,"
Corsair
",CMP64GX5M2X6600C32W,"
DDR5-6600
","
288-pin DIMM (DDR5)
","
2 x 32GB
","
$4.844
","
White
","
9.697 ns
","
32
","
1.4 V
","
32-39-39-76
","
Non-ECC / Unbuffered
","
Yes
",13
G.Skill Flare X5 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/4d42a58ad8d637783a7914a88d4a1939.256p.jpg,$94.99 ,"
G.Skill
",F5-6000J3238F16GX2-FX5,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$2.968
","
Black
","
10.667 ns
","
32
","
1.35 V
","
32-38-38-96
","
Non-ECC / Unbuffered
","
No
",13
Corsair Vengeance LPX 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/ae9c14173c768f2fa9ad4d3c957e94a0.256p.jpg,$66.98 ,"
Corsair
",CMK32GX4M2E3200C16,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
2 x 16GB
","
$2.093
","
Black / Yellow
","
10 ns
","
16
","
1.35 V
","
16-20-20-38
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance 32 GB,https://m.media-amazon.com/images/I/41jJSPS8W7L.jpg,$102.99 ,"
Corsair
",CMK32GX5M2B5200C40,"
DDR5-5200
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.218
","
Black
","
15.385 ns
","
40
","
1.25 V
","
40-40-40-77
","
Non-ECC / Unbuffered
","
Yes
",13
G.Skill Ripjaws S5 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/acf0ad7e41365a1d16a15dc7873e6b1b.256p.jpg,$104.99 ,"
G.Skill
",F5-6000J3040F16GX2-RS5K,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.281
","
Black
","
10 ns
","
30
","
1.35 V
","
30-40-40-96
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance RGB Pro SL 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/64079d85add71559122ffbd000911056.256p.jpg,$99.99 ,"
Corsair
",CMH32GX4M2D3600C18W,"
DDR4-3600
","
288-pin DIMM (DDR4)
","
2 x 16GB
","
$3.125
","
White / Black
","
10 ns
","
18
","
1.35 V
","
18-22-22-42
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance RGB 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/5cdd0dfcd25374317a12808fa7f63c19.256p.jpg,$224.99 ,"
Corsair
",CMH64GX5M2B6000C30,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 32GB
","
$3.515
","
Black
","
10 ns
","
30
","
1.4 V
","
30-36-36-76
","
Non-ECC / Unbuffered
","
Yes
",13
TEAMGROUP T-Force Vulcan Z 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/01da19f16d5e4c5808f64fb9049afb68.256p.jpg,$57.99 ,"
TEAMGROUP
",TLZGD432G3600HC18JDC01,"
DDR4-3600
","
288-pin DIMM (DDR4)
","
2 x 16GB
","
$1.812
","
Black
","
10 ns
","
18
","
1.35 V
","
18-22-22-42
","
Non-ECC / Unbuffered
","
Yes
",13
TEAMGROUP T-Force Vulcan Z 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/5adb8089a7ff5f322bc5dea023e93d31.256p.jpg,$54.99 ,"
TEAMGROUP
",TLZGD432G3200HC16FDC01,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
2 x 16GB
","
$1.718
","
Gray
","
10 ns
","
16
","
1.35 V
","
16-20-20-40
","
Non-ECC / Unbuffered
","
Yes
",13
Kingston FURY Beast RGB 16 GB,https://m.media-amazon.com/images/I/412GRbOBCIL.jpg,$69.98 ,"
Kingston
",KF560C36BBEAK2-16,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 8GB
","
$4.374
","
Black
","
12 ns
","
36
","
1.35 V
",N/A,"
Non-ECC / Unbuffered
","
Yes
",12
Silicon Power GAMING 32 GB,https://m.media-amazon.com/images/I/51w2AbYQhcS.jpg,$51.49 ,"
Silicon Power
",SP032GXLZU320BDAJ7,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
2 x 16GB
","
$1.609
","
Black
","
10 ns
","
16
","
1.35 V
","
16-18-18-36
","
Non-ECC / Unbuffered
","
Yes
",13
G.Skill Trident Z5 Neo 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/ddee8f048d2850b577c6e3c3f03a023b.256p.jpg,$209.99 ,"
G.Skill
",F5-6000J3040G32GX2-TZ5N,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 32GB
","
$3.281
","
Black / Silver
","
10 ns
","
30
","
1.4 V
","
30-40-40-96
","
Non-ECC / Unbuffered
","
Yes
",13
Silicon Power Value Gaming 32 GB,https://m.media-amazon.com/images/I/31nnSQSp4OL.jpg,$86.99 ,"
Silicon Power
",SP032GXLWU60AFDEAE,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$2.718
","
Black
","
10 ns
","
30
","
1.35 V
","
30-38-38-96
","
Non-ECC / Unbuffered
","
Yes
",13
G.Skill Trident Z5 RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/6b1843041f6b75e1ecb1139e428bbfa1.256p.jpg,$132.99 ,"
G.Skill
",F5-7200J3445G16GX2-TZ5RK,"
DDR5-7200
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$4.156
","
Black
","
9.444 ns
","
34
","
1.4 V
","
34-45-45-115
","
Non-ECC / Unbuffered
","
Yes
",13
Kingston FURY Beast 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/f5b1674c2d725945298cd1f11d305fb7.256p.jpg,$49.25 ,"
Kingston
",KF432C16BBK216,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
2 x 8GB
","
$3.078
","
Black
","
10 ns
","
16
","
1.35 V
",N/A,"
Non-ECC / Unbuffered
","
Yes
",12
Corsair Vengeance RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/1981efb68609538f2335a025f575a5dd.256p.jpg,$124.99 ,"
Corsair
",CMH32GX5M2B6000Z30K,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.906
","
Gray
","
10 ns
","
30
","
1.4 V
","
30-36-36-76
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance RGB Pro 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/58ab1663c77627cbf3effd27df57aa92.256p.jpg,$62.99 ,"
Corsair
",CMW16GX4M2C3200C16W,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
2 x 8GB
","
$3.937
","
White
","
10 ns
","
16
","
1.35 V
","
16-18-18-36
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance LPX 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/ef76582ad70db194abfb960a5e7d6add.256p.jpg,$127.99 ,"
Corsair
",CMK64GX4M2E3200C16,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
2 x 32GB
","
$2.000
","
Black / Yellow
","
10 ns
","
16
","
1.35 V
","
16-20-20-38
","
Non-ECC / Unbuffered
","
Yes
",13
TEAMGROUP T-Force Delta RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/324fe2c061140ad3c29d5027fb8d22a6.256p.jpg,$69.98 ,"
TEAMGROUP
",TF4D432G3600HC18JDC01,"
DDR4-3600
","
288-pin DIMM (DDR4)
","
2 x 16GB
","
$2.187
","
White
","
10 ns
","
18
","
1.35 V
","
18-22-22-42
","
Non-ECC / Unbuffered
","
Yes
",13
Kingston FURY Beast 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/15f577658fa02ead3aa1acb1886567a3.256p.jpg,$119.99 ,"
Kingston
",KF560C36BBEK2-32,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.750
","
Black
","
12 ns
","
36
","
1.35 V
",N/A,"
Non-ECC / Unbuffered
","
Yes
",12
G.Skill Trident Z5 RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/5468241c2bc267e0ebc4ed037b0d02b6.256p.jpg,$112.99 ,"
G.Skill
",F5-6400J3239G16GX2-TZ5RK,"
DDR5-6400
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.531
","
Black
","
10 ns
","
32
","
1.4 V
","
32-39-39-102
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance RGB 128 GB,//cdna.pcpartpicker.com/static/forever/images/product/97f4efea4a46c0f35748c429fca636cc.256p.jpg,$459.99 ,"
Corsair
",CMH128GX5M4B5600C40,"
DDR5-5600
","
288-pin DIMM (DDR5)
","
4 x 32GB
","
$3.594
","
Black
","
14.286 ns
","
40
","
1.25 V
","
40-40-40-77
","
Non-ECC / Unbuffered
","
Yes
",13
G.Skill Trident Z RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/00963d6b0a92c53e1e3c5c6de47d238f.256p.jpg,$84.99 ,"
G.Skill
",F4-3200C16D-32GTZRX,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
2 x 16GB
","
$2.656
","
Black
","
10 ns
","
16
","
1.35 V
","
16-18-18-38
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/5c1b521170c68c5440170c5f2666b17d.256p.jpg,$102.99 ,"
Corsair
",CMK32GX5M2E6000C36,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.218
","
Black
","
12 ns
","
36
","
1.4 V
","
36-44-44-96
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Dominator Titanium 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/d28379b9dec15eb6b32ea27b768b85e6.256p.jpg,$309.99 ,"
Corsair
",CMP64GX5M2X6600C32,"
DDR5-6600
","
288-pin DIMM (DDR5)
","
2 x 32GB
","
$4.844
","
Black
","
9.697 ns
","
32
","
1.4 V
","
32-39-39-76
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/fe414d3559a9bbb2e092ba5374f6e1ed.256p.jpg,$219.99 ,"
Corsair
",CMK64GX5M2B6400C32,"
DDR5-6400
","
288-pin DIMM (DDR5)
","
2 x 32GB
","
$3.437
","
Black / Gray
","
10 ns
","
32
","
1.4 V
","
32-40-40-84
","
Non-ECC / Unbuffered
","
Yes
",13
G.Skill Trident Z5 RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/f0a9a2e05e133134686101ad974f1789.256p.jpg,$112.99 ,"
G.Skill
",F5-6400J3239G16GX2-TZ5RW,"
DDR5-6400
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.531
","
White / Black
","
10 ns
","
32
","
1.4 V
","
32-39-39-102
","
Non-ECC / Unbuffered
","
Yes
",13
TEAMGROUP T-Force Delta RGB 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/a57460b491bfa8f2ffbee96d83b0941b.256p.jpg,$47.99 ,"
TEAMGROUP
",TF3D416G3600HC18JDC01,"
DDR4-3600
","
288-pin DIMM (DDR4)
","
2 x 8GB
","
$2.999
","
Black
","
10 ns
","
18
","
1.35 V
","
18-22-22-42
","
Non-ECC / Unbuffered
","
Yes
",13
G.Skill Ripjaws V 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/a00199d12cb22ee1dc33639a754cca79.256p.jpg,$43.99 ,"
G.Skill
",F4-3600C16D-16GVKC,"
DDR4-3600
","
288-pin DIMM (DDR4)
","
2 x 8GB
","
$2.749
","
Black
","
8.889 ns
","
16
","
1.35 V
","
16-19-19-39
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/ebca1cc55cb7829ce3ed0b8a13efce7e.256p.jpg,$109.99 ,"
Corsair
",CMH32GX5M2B5200C40W,"
DDR5-5200
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.437
","
White
","
15.385 ns
","
40
","
1.25 V
","
40-40-40-77
","
Non-ECC / Unbuffered
","
Yes
",13
TEAMGROUP T-Force Vulcan 32 GB,https://m.media-amazon.com/images/I/419fXKKDtvL.jpg,$102.99 ,"
TEAMGROUP
",FLBD532G6000HC30DC01,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.218
","
Black
","
10 ns
","
30
","
1.35 V
","
30-36-36-76
","
Non-ECC / Unbuffered
","
Yes
",13
TEAMGROUP T-Force Delta RGB 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/407b6b1ede8e4f885d02f2bcf32ed131.256p.jpg,$47.99 ,"
TEAMGROUP
",TF4D416G3600HC18JDC01,"
DDR4-3600
","
288-pin DIMM (DDR4)
","
2 x 8GB
","
$2.999
","
White
","
10 ns
","
18
","
1.35 V
","
18-22-22-42
","
Non-ECC / Unbuffered
","
Yes
",13
G.Skill Trident Z5 RGB 48 GB,//cdna.pcpartpicker.com/static/forever/images/product/74ca8bc876958ab560190cae0f349c69.256p.jpg,$399.99 ,"
G.Skill
",F5-8400J4052G24GX2-TZ5RK,"
DDR5-8400
","
288-pin DIMM (DDR5)
","
2 x 24GB
","
$8.333
","
Black
","
9.524 ns
","
40
","
1.4 V
","
40-52-52-134
","
Non-ECC / Unbuffered
","
Yes
",13
Silicon Power SP016GBLFU320B22 16 GB,https://m.media-amazon.com/images/I/41tZyzkQWTS.jpg,$29.97 ,"
Silicon Power
",SP016GBLFU320B22,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
2 x 8GB
","
$1.873
",N/A,"
13.75 ns
","
22
","
1.2 V
",N/A,"
Non-ECC / Unbuffered
","
No
",11
Kingston FURY Beast 16 GB,//cdna.pcpartpicker.com/static/forever/images/product/de06e47f30113be2454ca5f59385695d.256p.jpg,$71.98 ,"
Kingston
",KF560C40BBK2-16,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 8GB
","
$4.499
","
Black
","
13.333 ns
","
40
","
1.35 V
",N/A,"
Non-ECC / Unbuffered
","
Yes
",12
G.Skill Flare X5 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/f7d28bd70b14a7eaef6627ce7ecc3fd6.256p.jpg,$199.99 ,"
G.Skill
",F5-6000J3040G32GX2-FX5,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 32GB
","
$3.125
","
Black
","
10 ns
","
30
","
1.4 V
","
30-40-40-96
","
Non-ECC / Unbuffered
","
Yes
",13
Corsair Vengeance RGB 64 GB,//cdna.pcpartpicker.com/static/forever/images/product/4881bdf9c1572ba6ceabf1fcbf5c361b.256p.jpg,$229.99 ,"
Corsair
",CMH64GX5M2B6000C30W,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 32GB
","
$3.594
","
White / Silver
","
10 ns
","
30
","
1.4 V
","
30-36-36-76
","
Non-ECC / Unbuffered
","
Yes
",13
Silicon Power SP032GBLVU560FD2AD 32 GB,https://m.media-amazon.com/images/I/31nnSQSp4OL.jpg,$75.97 ,"
Silicon Power
",SP032GBLVU560FD2AD,"
DDR5-5600
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$2.374
","
Black
","
16.429 ns
","
46
","
1.1 V
","
46-46-46-90
","
Non-ECC / Unbuffered
","
Yes
",13
G.Skill Ripjaws V 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/6bd09f5257f27371c8ebf94b3a331452.256p.jpg,$79.98 ,"
G.Skill
",F4-3600C16D-32GVKC,"
DDR4-3600
","
288-pin DIMM (DDR4)
","
2 x 16GB
","
$2.499
","
Black
","
8.889 ns
","
16
","
1.35 V
","
16-19-19-39
","
Non-ECC / Unbuffered
","
Yes
",13
TEAMGROUP T-Create Expert 32 GB,https://m.media-amazon.com/images/I/31wJnjLfF8L.jpg,$102.99 ,"
TEAMGROUP
",CTCWD532G6000HC30DC01,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$3.218
","
White
","
10 ns
","
30
","
1.35 V
","
30-36-36-76
","
Non-ECC / Unbuffered
","
Yes
",13
Kingston FURY Beast RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/dbf28f9dcb2821432f6a36175acafa9c.256p.jpg,$127.99 ,"
Kingston
",KF560C36BBEAK2-32,"
DDR5-6000
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$4.000
","
Black
","
12 ns
","
36
","
1.35 V
",N/A,"
Non-ECC / Unbuffered
","
Yes
",12
Corsair Dominator Platinum RGB 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/14efe97f96919022afdfc48699226b7f.256p.jpg,$174.99 ,"
Corsair
",CMT32GX5M2X6200C36W,"
DDR5-6200
","
288-pin DIMM (DDR5)
","
2 x 16GB
","
$5.468
","
White
","
11.613 ns
","
36
","
1.3 V
","
36-39-39-76
","
Non-ECC / Unbuffered
","
Yes
",13
Kingston FURY Beast 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/f5b1674c2d725945298cd1f11d305fb7.256p.jpg,$79.98 ,"
Kingston
",KF432C16BBK2/32,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
2 x 16GB
","
$2.499
","
Black
","
10 ns
","
16
","
1.35 V
",N/A,"
Non-ECC / Unbuffered
","
Yes
",12
Crucial Pro 32 GB,//cdna.pcpartpicker.com/static/forever/images/product/235358800a11d646358ccb734e9efde5.256p.jpg,$71.31 ,"
Crucial
",CP2K16G4DFRA32A,"
DDR4-3200
","
288-pin DIMM (DDR4)
","
2 x 16GB
","
$2.228
","
Black
","
13.75 ns
","
22
","
1.2 V
",N/A,"
Non-ECC / Unbuffered
","
Yes
",12
