Name,Image URL,Price,Manufacturer,Part #,Capacity,Price / GB,Type,Cache,Form Factor,Interface,NVME
Samsung PM961,//cdna.pcpartpicker.com/static/forever/images/product/fcbc71117549f628cb1d5feaa3146984.256p.jpg,$74.00 ,"
Samsung
",MZVLW128HEGR-00000,"
128 GB
","
$0.578
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X4
",No
TEAMGROUP T-FORCE Z44A7,//cdna.pcpartpicker.com/static/forever/images/product/2c2412d2d4eb0352a8e63f786704e973.256p.jpg,,"
TEAMGROUP
",TM8FPV001T0C129,"
1 TB
",N/A,"
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No
Toshiba L200,//cdna.pcpartpicker.com/static/forever/images/product/eb7ee4ce5b0d9aee2d214b80dc928cd6.256p.jpg,$59.99 ,"
Toshiba
",HDWL120UZSVA,"
2 TB
","
$0.030
","
5400 RPM
","
128 MB
","
2.5",,
ADATA Legend 850,//cdna.pcpartpicker.com/static/forever/images/product/c4b9b5441b9b40f6e64e35ef72004899.256p.jpg,$73.99 ,"
ADATA
",ALEG-850-1TCS,"
1 TB
","
$0.074
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No
Toshiba MQ01ABD-V,https://m.media-amazon.com/images/I/51sakXct0iL.jpg,$33.89 ,"
Toshiba
",MQ01ABD100V,"
1 TB
","
$0.034
","
5400 RPM
",N/A,"
2.5",,
TEAMGROUP T-FORCE G70 PRO Graphene,//cdna.pcpartpicker.com/static/forever/images/product/57df6073a8835a489e71d3fb0fe32a68.256p.jpg,$145.99 ,"
TEAMGROUP
",TM8FFH002T0C129,"
2 TB
","
$0.073
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No
GOODRAM PX700,//cdna.pcpartpicker.com/static/forever/images/product/cb33e9fe4391099ca7e5b57459eca7f6.256p.jpg,$233.26 ,"
GOODRAM
",SSDPR-PX700-02T-80,"
2.048 TB
","
$0.114
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No
Western Digital Black SN850 w/Heatsink,//cdna.pcpartpicker.com/static/forever/images/product/82ae03f2b4a2b03e374b05d0a64774c7.256p.jpg,$265.00 ,"
Western Digital
",WDS200T1XHE,"
2 TB
","
$0.133
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No
Samsung 840 Evo,https://m.media-amazon.com/images/I/512BfHR8gGL.jpg,$159.99 ,"
Samsung
",MZ-7TE500BW,"
500 GB
","
$0.320
","
SSD
",N/A,"
2.5",,
Kingston SSDNow UV400,//cdna.pcpartpicker.com/static/forever/images/product/0d1f22f70d0daa5ecbec56e7e6a9dbd6.256p.jpg,,"
Kingston
",SUV400S37/240G,"
240 GB
",N/A,"
SSD
",N/A,"
2.5",,
Crucial MX500,//cdna.pcpartpicker.com/static/forever/images/product/027bd3972b94b8d2e395b16acf5fc27f.256p.jpg,$88.67 ,"
Crucial
",CT500MX500SSD4,"
500 GB
","
$0.177
","
SSD
",N/A,"
M.2-2280
","
M.2 SATA
",No
Gigabyte AORUS Gen5 10000,https://m.media-amazon.com/images/I/41SyePS4hFL.jpg,,"
Gigabyte
",AG510K2TB,"
2 TB
",N/A,"
SSD
","
4096 MB
","
M.2-2280
","
M.2 PCIe 5.0 X4
",No
TEAMGROUP T-Force Cardea A440 Pro,//cdna.pcpartpicker.com/static/forever/images/product/4ccb73baed8f94574445976fdb82509d.256p.jpg,,"
TEAMGROUP
",TM8FPR001T0C129,"
1 TB
",N/A,"
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No
MSI SPATIUM M390,//cdna.pcpartpicker.com/static/forever/images/product/3293cf34b7c1af342cbef859d4295f95.256p.jpg,,"
MSI
",SM390N1TB,"
1 TB
",N/A,"
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X4
",No
Corsair MP600 ELITE w/Heatsink,//cdna.pcpartpicker.com/static/forever/images/product/92afa412be7edffd7d2607801a4f6d37.256p.jpg,$92.99 ,"
Corsair
",CSSD-F1000GBMP600EHS,"
1 TB
","
$0.093
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No
HP EX900 Plus,https://m.media-amazon.com/images/I/41wMgDh5vuL.jpg,$71.98 ,"
HP
",35M34AA#ABA,"
1 TB
","
$0.072
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 3.0 X4
",No
Western Digital Gold,//cdna.pcpartpicker.com/static/forever/images/product/8d336b12a6885e39cd1075eb4d7a0bdf.256p.jpg,$349.99 ,"
Western Digital
",WD161KRYZ,"
16 TB
","
$0.022
","
7200 RPM
","
512 MB
","
3.5",,
MSI SPATIUM M480,//cdna.pcpartpicker.com/static/forever/images/product/77b5046db1f690e2d52c3fa87d6a535e.256p.jpg,$99.00 ,"
MSI
",SM480N1TB,"
1 TB
","
$0.099
","
SSD
",N/A,"
M.2-2280
","
M.2 PCIe 4.0 X4
",No
