Name,Image URL,Price,Manufacturer,Model,Part #,Fan RPM,Noise Level,Color,Height,CPU Socket,Water Cooled,Fanless,Specs Number
Corsair H100i RGB PLATINUM SE,https://m.media-amazon.com/images/I/41zYoQtArkL.jpg,,Corsair,H100i RGB PLATINUM SE,"CW-9060042-WW, CW-9060041-WW",2200 RPM,36 dB,White,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, sTR4, sTRX4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,9
Thermaltake TH360 V2 ARGB Sync,https://m.media-amazon.com/images/I/3159ryDGKrL.jpg,$109.99 ,Thermaltake,TH360 V2 ARGB Sync,CL-W365-PL12SW-A,500 - 2000 RPM,25.8 dB,White,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,9
Lian Li Galahad II LCD,//cdna.pcpartpicker.com/static/forever/images/product/e03b1960a13646e4500e06981143cfb5.256p.jpg,$243.48 ,Lian Li,N/A,GA2ALCD36W,300 - 2450 RPM,30 dB,White,N/A,"AM4, AM5, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",Yes - 360 mm,No,8
MSI MAG CORELIQUID P360,//cdna.pcpartpicker.com/static/forever/images/product/fa9d24f9c5809afc43db6fdf78f565db.256p.jpg,$160.61 ,MSI,N/A,"MAG CORELIQUID P360, 306-7ZW2P31-813, CLP360",500 - 2000 RPM,14.3 - 34.3 dB,Black,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 360 mm,No,8
ID-COOLING PINKFLOW,//cdna.pcpartpicker.com/static/forever/images/product/68a43a5778529cc6efbd649f1f3e7e2b.256p.jpg,$99.99 ,ID-COOLING,N/A,PINKFLOW 240,900 - 2000 RPM,16.3 - 33.5 dB,White / Pink,N/A,"AM2, AM2+, AM3, AM3+, AM4, AM5, sTR4, sTRX4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1366, LGA1700, LGA2011, LGA2011-3, LGA2066",Yes - 240 mm,No,8
Thermalright AXP120-X67,https://m.media-amazon.com/images/I/416mdXNojAL.jpg,$29.90 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Asus TUF GAMING LC 240 ARGB,//cdna.pcpartpicker.com/static/forever/images/product/0be5b2c3519ce726e6f316b46770de84.256p.jpg,$86.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deepcool AK500,//cdna.pcpartpicker.com/static/forever/images/product/da5cdeafbe85096ba562ef59fa4c693f.256p.jpg,$49.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Corsair iCUE H150i RGB PRO XT,//cdna.pcpartpicker.com/static/forever/images/product/f1108a195027ab71953f5b9b1687db2a.256p.jpg,$203.10 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deepcool LE520,//cdna.pcpartpicker.com/static/forever/images/product/2bcade77a62f16d80c4b29b3ca22836b.256p.jpg,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NZXT Kraken M22,//cdna.pcpartpicker.com/static/forever/images/product/a41b71dcdc35de1f04d153d174a0e10e.256p.jpg,$84.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deepcool MYSTIQUE,//cdna.pcpartpicker.com/static/forever/images/product/b3b667d5bf68cf26600cd97baaa61303.256p.jpg,$149.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Asus ROG STRIX LC II 280 ARGB,//cdna.pcpartpicker.com/static/forever/images/product/3a6396e059247aa5c49a6f2dbbe853df.256p.jpg,$119.99 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deepcool AG620,https://m.media-amazon.com/images/I/41AdDZge9vL.jpg,$43.98 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ID-COOLING DASHFLOW BASIC,https://m.media-amazon.com/images/I/31dfBSZzsQL.jpg,$79.98 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alpenföhn BLACK RIDGE,//cdna.pcpartpicker.com/static/forever/images/product/2e955f89d5132d05c274243774e88ac3.256p.jpg,$54.61 ,Alpenföhn,BLACK RIDGE,84000000156,800 - 2800 RPM,14 - 37.6 dB,Black,47 mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1200, LGA1700",No,No,10
